"USER_ID","CHANNEL_NUM","START_TIME","DURATION"
"39886581","893912",20210822 02:30:00,900
"30422681","893912",20210822 02:30:00,900
"35079681","893912",20210822 02:30:00,900
"38605681","893912",20210822 02:30:00,900
"38608681","893912",20210822 02:30:00,900
"35779181","893912",20210822 02:45:00,900
"32784281","893912",20210822 02:45:00,900
"37636281","893912",20210822 02:45:00,900
"30507581","893912",20210822 02:45:00,900
"35240581","893912",20210822 02:45:00,900
"39886581","893912",20210822 02:45:00,900
"30422681","893912",20210822 02:45:00,900
"35079681","893912",20210822 02:45:00,900
"38605681","893912",20210822 02:45:00,900
"38608681","893912",20210822 02:45:00,900
"35779181","893912",20210822 03:00:00,900
"32784281","893912",20210822 03:00:00,900
"37636281","893912",20210822 03:00:00,900
"30507581","893912",20210822 03:00:00,900
"35240581","893912",20210822 03:00:00,900
"39886581","893912",20210822 03:00:00,900
"30422681","893912",20210822 03:00:00,900
"35065681","893912",20210822 03:00:00,485
"35079681","893912",20210822 03:00:00,900
"38605681","893912",20210822 03:00:00,900
"38608681","893912",20210822 03:00:00,900
"35779181","893912",20210822 03:15:00,900
"32784281","893912",20210822 03:15:00,900
"37636281","893912",20210822 03:15:00,900
"30507581","893912",20210822 03:15:00,900
"35240581","893912",20210822 03:15:00,900
"39886581","893912",20210822 03:15:00,900
"30422681","893912",20210822 03:15:00,900
"35065681","893912",20210822 03:15:00,900
"35079681","893912",20210822 03:15:00,900
"38563681","893912",20210822 03:15:00,900
"38605681","893912",20210822 03:15:00,900
"38608681","893912",20210822 03:15:00,900
"35779181","893912",20210822 03:30:00,900
"32784281","893912",20210822 03:30:00,900
"37636281","893912",20210822 03:30:00,900
"30507581","893912",20210822 03:30:00,900
"31577581","893912",20210822 03:30:00,516
"35240581","893912",20210822 03:30:00,900
"39886581","893912",20210822 03:30:00,900
"30422681","893912",20210822 03:30:00,900
"35065681","893912",20210822 03:30:00,900
"35079681","893912",20210822 03:30:00,900
"38563681","893912",20210822 03:30:00,900
"38605681","893912",20210822 03:30:00,900
"38608681","893912",20210822 03:30:00,900
"35779181","893912",20210822 03:45:00,900
"32784281","893912",20210822 03:45:00,900
"37636281","893912",20210822 03:45:00,900
"30507581","893912",20210822 03:45:00,900
"31577581","893912",20210822 03:45:00,900
"35240581","893912",20210822 03:45:00,900
"39886581","893912",20210822 03:45:00,900
"30422681","893912",20210822 03:45:00,900
"35065681","893912",20210822 03:45:00,900
"35079681","893912",20210822 03:45:00,900
"38563681","893912",20210822 03:45:00,900
"38605681","893912",20210822 03:45:00,900
"38608681","893912",20210822 03:45:00,900
"35779181","893912",20210822 04:00:00,900
"32784281","893912",20210822 04:00:00,900
"37636281","893912",20210822 04:00:00,900
"30507581","893912",20210822 04:00:00,900
"31577581","893912",20210822 04:00:00,900
"35240581","893912",20210822 04:00:00,900
"35938581","893912",20210822 04:00:00,837
"39886581","893912",20210822 04:00:00,900
"30422681","893912",20210822 04:00:00,900
"30580681","893912",20210822 04:00:00,549
"35065681","893912",20210822 04:00:00,900
"35079681","893912",20210822 04:00:00,900
"38563681","893912",20210822 04:00:00,900
"38605681","893912",20210822 04:00:00,900
"38608681","893912",20210822 04:00:00,900
"35779181","893912",20210822 04:15:00,900
"32784281","893912",20210822 04:15:00,900
"37636281","893912",20210822 04:15:00,900
"30507581","893912",20210822 04:15:00,900
"31577581","893912",20210822 04:15:00,900
"35240581","893912",20210822 04:15:00,900
"35938581","893912",20210822 04:15:00,900
"39886581","893912",20210822 04:15:00,900
"30422681","893912",20210822 04:15:00,900
"30580681","893912",20210822 04:15:00,900
"35065681","893912",20210822 04:15:00,900
"35079681","893912",20210822 04:15:00,900
"38563681","893912",20210822 04:15:00,900
"38605681","893912",20210822 04:15:00,900
"38608681","893912",20210822 04:15:00,900
"35779181","893912",20210822 04:30:00,900
"32784281","893912",20210822 04:30:00,900
"37636281","893912",20210822 04:30:00,900
"30507581","893912",20210822 04:30:00,900
"31577581","893912",20210822 04:30:00,900
"35240581","893912",20210822 04:30:00,900
"35938581","893912",20210822 04:30:00,900
"30422681","893912",20210822 04:30:00,900
"30580681","893912",20210822 04:30:00,900
"34106681","893912",20210822 04:30:00,900
"35065681","893912",20210822 04:30:00,900
"35079681","893912",20210822 04:30:00,900
"38563681","893912",20210822 04:30:00,900
"38605681","893912",20210822 04:30:00,900
"38608681","893912",20210822 04:30:00,900
"35779181","893912",20210822 04:45:00,900
"32784281","893912",20210822 04:45:00,900
"37636281","893912",20210822 04:45:00,900
"30507581","893912",20210822 04:45:00,900
"31577581","893912",20210822 04:45:00,900
"35240581","893912",20210822 04:45:00,900
"35938581","893912",20210822 04:45:00,900
"30422681","893912",20210822 04:45:00,900
"30580681","893912",20210822 04:45:00,900
"34106681","893912",20210822 04:45:00,900
"35065681","893912",20210822 04:45:00,900
"35079681","893912",20210822 04:45:00,900
"38563681","893912",20210822 04:45:00,900
"38605681","893912",20210822 04:45:00,900
"38608681","893912",20210822 04:45:00,900
"35779181","893912",20210822 05:00:00,900
"32784281","893912",20210822 05:00:00,900
"37636281","893912",20210822 05:00:00,900
"30507581","893912",20210822 05:00:00,900
"31577581","893912",20210822 05:00:00,900
"35240581","893912",20210822 05:00:00,900
"35938581","893912",20210822 05:00:00,900
"30422681","893912",20210822 05:00:00,900
"30580681","893912",20210822 05:00:00,900
"34106681","893912",20210822 05:00:00,900
"35065681","893912",20210822 05:00:00,900
"35079681","893912",20210822 05:00:00,900
"38563681","893912",20210822 05:00:00,900
"38605681","893912",20210822 05:00:00,900
"38608681","893912",20210822 05:00:00,900
"35779181","893912",20210822 05:15:00,900
"32784281","893912",20210822 05:15:00,900
"37636281","893912",20210822 05:15:00,900
"30507581","893912",20210822 05:15:00,900
"31577581","893912",20210822 05:15:00,900
"35240581","893912",20210822 05:15:00,900
"35938581","893912",20210822 05:15:00,900
"30422681","893912",20210822 05:15:00,900
"30580681","893912",20210822 05:15:00,900
"34106681","893912",20210822 05:15:00,900
"35065681","893912",20210822 05:15:00,900
"35079681","893912",20210822 05:15:00,900
"38563681","893912",20210822 05:15:00,900
"38605681","893912",20210822 05:15:00,900
"38608681","893912",20210822 05:15:00,900
"35779181","893912",20210822 05:30:00,900
"32784281","893912",20210822 05:30:00,900
"37636281","893912",20210822 05:30:00,900
"30507581","893912",20210822 05:30:00,900
"31577581","893912",20210822 05:30:00,900
"35240581","893912",20210822 05:30:00,900
"35938581","893912",20210822 05:30:00,900
"30422681","893912",20210822 05:30:00,900
"30580681","893912",20210822 05:30:00,900
